Disease,Food_Category,Specific_Food,Quantity,Benefit
Hyperthyroidism,Grains,Brown rice,1/2 cup cooked,Complex carbohydrate that provides steady energy
Hypoglycemia,Grains,Quinoa,1/2 cup cooked,Complex carbohydrate with protein
Hypoglycemia,Nut butters,Almond butter,2 tablespoons,Contains protein and healthy fats
Hypoglycemia,Dairy,Greek yogurt,1 cup,High protein dairy with probiotics
Hypoglycemia,Legumes,Lentils,1/2 cup cooked,Plant-based protein with fiber
Hypoglycemia,Healthy fats,Avocado,1/4 fruit,Contains healthy fats that stabilize blood sugar
Hypoglycemia,Protein,Chicken,3-4oz,Lean protein that doesn't raise blood sugar
Hypoglycemia,Snacks,Apples with nut butter,1 apple with 1 tbsp nut butter,Balanced snack with fiber, protein and fat
Osteoarthritis,Protein,Fatty fish (salmon/mackerel),3oz twice weekly,Contains omega-3 fatty acids that reduce inflammation
Osteoarthritis,Fruits,Tart cherries,1 cup or 1/4 cup juice,Contains anthocyanins that reduce inflammation
Osteoarthritis,Spices,Turmeric with black pepper,1 teaspoon with pinch of pepper,Contains curcumin which reduces joint inflammation
Osteoarthritis,Vegetables,Spinach,2 cups raw,Rich in antioxidants and vitamin K
Osteoarthritis,Nuts,Walnuts,1/4 cup,Contains omega-3 fatty acids and antioxidants
Osteoarthritis,Oils,Olive oil,2 tablespoons,Contains oleocanthal which has anti-inflammatory effects
Osteoarthritis,Fruits,Pineapple,1 cup,Contains bromelain which reduces inflammation
Arthritis,Protein,Fatty fish (salmon/mackerel),3oz twice weekly,Contains omega-3 fatty acids that reduce inflammation
Arthritis,Fruits,Tart cherries,1 cup or 1/4 cup juice,Contains anthocyanins that reduce inflammation
Arthritis,Spices,Turmeric with black pepper,1 teaspoon with pinch of pepper,Contains curcumin which reduces joint inflammation
Arthritis,Spices,Ginger,1-inch piece fresh,Contains gingerols that reduce inflammation
Arthritis,Nuts,Walnuts,1/4 cup,Contains omega-3 fatty acids and antioxidants
Arthritis,Vegetables,Spinach,2 cups raw,Rich in antioxidants and vitamin K
Arthritis,Oils,Olive oil,2 tablespoons,Contains oleocanthal which has anti-inflammatory effects
Vertigo,Vegetables,Low-sodium foods (fresh vegetables),2-3 cups daily,Reduces fluid retention that can worsen vertigo
Vertigo,Beverages,Ginger tea,2-3 cups daily,Reduces nausea and dizziness
Vertigo,Nuts,Almonds,1/4 cup,Contains vitamin E which improves circulation
Vertigo,Fruits,Watermelon,1 cup,Provides hydration and electrolytes
Vertigo,Fruits,Bananas,1-2 daily,Rich in potassium which helps regulate fluid balance
Vertigo,Dairy,Yogurt,1 cup,Contains probiotics which may help inner ear health
Vertigo,Protein,Fatty fish (salmon),3oz twice weekly,Contains vitamin D which supports inner ear health
Acne,Protein,Wild salmon,3oz twice weekly,Contains omega-3 fatty acids that reduce inflammation
Acne,Healthy fats,Avocados,1/4 fruit,Contains vitamin E which supports skin health
Acne,Vegetables,Sweet potatoes,1 medium,Rich in vitamin A which regulates skin cell production
Acne,Vegetables,Kale,2 cups raw,Rich in vitamins A and C which support skin health
Acne,Beverages,Green tea,2-3 cups daily,Contains EGCG which reduces sebum production
Acne,Seeds,Pumpkin seeds,1/4 cup,Rich in zinc which reduces inflammation
Acne,Fruits,Berries,1 cup,Rich in antioxidants that fight inflammation
Urinary tract infection,Beverages,Cranberry juice (unsweetened),8oz daily,Contains proanthocyanidins which prevent bacterial adhesion
Urinary tract infection,Fruits,Blueberries,1 cup,Contains similar compounds to cranberries
Urinary tract infection,Dairy,Yogurt,1 cup,Contains probiotics which support urinary health
Urinary tract infection,Spices,Garlic,1-2 cloves daily,Has antimicrobial properties
Urinary tract infection,Dairy,Kefir,1 cup,Rich source of probiotics
Urinary tract infection,Beverages,Lemon water,2-3 cups daily,Acidifies urine which may inhibit bacterial growth
Urinary tract infection,Fruits,Watermelon,1 cup,Natural diuretic that helps flush bacteria
Psoriasis,Protein,Fatty fish (salmon/mackerel),3oz twice weekly,Contains omega-3 fatty acids that reduce inflammation
Psoriasis,Spices,Turmeric with black pepper,1 teaspoon with pinch of pepper,Contains curcumin which reduces inflammation
Psoriasis,Healthy fats,Avocados,1/4 fruit,Contains vitamin E which supports skin health
Psoriasis,Seeds,Pumpkin seeds,1/4 cup,Rich in zinc which supports skin healing
Psoriasis,Vegetables,Carrots,1 cup raw,Rich in vitamin A which supports skin health
Psoriasis,Fruits,Berries,1 cup,Rich in antioxidants that fight inflammation
Psoriasis,Oils,Olive oil,2 tablespoons,Contains oleocanthal which has anti-inflammatory effects
Impetigo,Spices,Garlic,1-2 cloves daily,Has antimicrobial properties
Impetigo,Natural remedies,Turmeric with honey,1 teaspoon with 1 tbsp honey,Has antimicrobial and anti-inflammatory properties
Impetigo,Oils,Coconut oil,1-2 tablespoons,Contains lauric acid with antimicrobial properties
Impetigo,Beverages,Aloe vera juice,1/4 cup daily,Supports skin healing
Impetigo,Dairy,Yogurt,1 cup,Contains probiotics which support immune function
Impetigo,Fruits,Kiwi,1-2 fruits daily,Rich in vitamin C which supports skin healing
Impetigo,Seeds,Pumpkin seeds,1/4 cup,Rich in zinc which supports skin healing 
