Disease,Medication
Hyperthyroidism,"['Methimazole (Adults: 10-40mg daily in divided doses)', 'Propranolol (Adults: 10-40mg three times daily)', 'Prednisone (Adults: As prescribed)', 'Calcium (Adults: 1000mg daily)', 'Vitamin D (Adults: 1000 IU daily)']"
Hypoglycemia,"['Glucose tablets (Adults: 15-20g as needed)', 'Glucagon injection (Adults: 1mg as needed)', 'Complex carbs (All ages: as needed)', 'Dextrose gel (Adults: 15g as needed)', 'Diazoxide (Adults: 3-8mg/kg/day divided)']"
Osteoarthritis,"['Celecoxib (Adults: 200mg daily)', 'Glucosamine sulfate (Adults: 1500mg daily)', 'Chondroitin sulfate (Adults: 1200mg daily)', 'Duloxetine (Adults: 60mg daily)', 'Topical diclofenac (Adults: apply 4 times daily)']"
Arthritis,"['Ibuprofen (Adults: 400-800mg three times daily with food)', 'Naproxen (Adults: 375-500mg twice daily with food)', 'Celecoxib (Adults: 200mg daily or divided)', 'Glucosamine (Adults: 500mg three times daily)', 'Calcium with Vitamin D (Adults: 600mg/400IU twice daily)']"
(vertigo) Paroymsal Positional Vertigo,"['Meclizine (Adults: 25-50mg three times daily)', 'Diazepam (Adults: 2-10mg three times daily)', 'Prochlorperazine (Adults: 5-10mg three times daily)', 'Betahistine (Adults: 16mg three times daily)', 'Ginkgo biloba (Adults: 120mg divided doses)']"
Acne,"['Isotretinoin (Adults: 0.5-1mg/kg/day divided doses)', 'Doxycycline (Adults: 50-100mg twice daily)', 'Benzoyl peroxide 5% (All ages: apply twice daily)', 'Tretinoin cream 0.025% (Adults: apply nightly)', 'Clindamycin gel 1% (All ages: apply twice daily)']"
Urinary tract infection,"['Nitrofurantoin (Adults: 100mg twice daily with food for 5 days)', 'Trimethoprim-Sulfamethoxazole (Adults: 160/800mg twice daily for 3 days)', 'Phenazopyridine (Adults: 200mg three times daily after meals)', 'Cranberry extract (Adults: 500mg twice daily)', 'Probiotics (Adults: 1 capsule daily)']"
Psoriasis,"['Methotrexate (Adults: 7.5-25mg once weekly)', 'Adalimumab (Adults: 40mg every other week)', 'Calcipotriene cream (Adults: apply twice daily)', 'Betamethasone (Adults: apply twice daily)', 'Acitretin (Adults: 25-50mg daily)']"
Impetigo,"['Mupirocin ointment (All ages: apply 3 times daily)', 'Fusidic acid (All ages: apply 3 times daily)', 'Cephalexin (Adults: 500mg four times daily)', 'Dicloxacillin (Adults: 250mg four times daily)', 'Hydrogen peroxide wash (All ages: 2-3 times daily)']"
AIDS,"['Tenofovir/Emtricitabine (Adults: 1 tablet daily)', 'Dolutegravir (Adults: 50mg daily)', 'Darunavir (Adults: 800mg daily with food)', 'Ritonavir (Adults: 100mg daily)', 'Bictegravir/TAF/FTC (Adults: 1 tablet daily)']"
Dimorphic hemorrhoids,"['Hydrocortisone cream 2.5% (Adults: apply 2-3 times daily)', 'Docusate sodium (Adults: 100mg twice daily)', 'Psyllium fiber (Adults: 1 tbsp with water twice daily)', 'Witch hazel pads (Adults: use after bowel movements)', 'Benzocaine ointment (Adults: apply as needed)']"
