,Unnamed: 0,disease,workout
101,101,Hypertension,Reduce salt to less than 2,300mg daily (about 1 teaspoon)
102,102,Hypertension,Eat 1 banana or 2 cups of raw spinach daily for potassium
103,103,Hypertension,Drink 8-10 glasses (2-2.5 liters) of water daily
104,104,Hypertension,Include 1 cup low-fat yogurt or 1 cup low-fat milk daily
105,105,Hypertension,Limit alcohol to 1 drink daily for women, 2 for men
106,106,Hypertension,Eat 1 cup of cooked beets daily for nitrates
107,107,Hypertension,Include 1 cup of berries daily for flavonoids
108,108,Hypertension,Consume 1-2 cloves of garlic daily for allicin
109,109,Hypertension,Follow your doctor's specific dietary recommendations
110,110,Migraine,Keep a food diary to identify personal trigger foods
111,111,Migraine,Drink 8-10 glasses (2-2.5 liters) of water daily
112,112,Migraine,Include 1/4 cup pumpkin seeds daily for magnesium
113,113,Migraine,Eat 3 oz of salmon or mackerel twice weekly
114,114,Migraine,Limit coffee to 1 cup daily and alcohol to 1 drink or less
115,115,Migraine,Eat 2 whole eggs daily for riboflavin
116,116,Migraine,Eat 1/4 cup of almonds daily for magnesium
117,117,Migraine,Eat at the same times each day, don't skip meals
118,118,Migraine,Include 1 cup of watermelon daily for hydration
119,119,Migraine,Add 1-inch piece of fresh ginger to tea or meals daily
120,120,Cervical spondylosis,Eat 3 oz of salmon twice weekly for omega-3 and vitamin D
121,121,Cervical spondylosis,Include 2 tablespoons of chia seeds daily for omega-3
122,122,Cervical spondylosis,Eat 2 cups of raw kale daily for calcium and vitamin K
123,123,Cervical spondylosis,Drink 8-10 glasses (2-2.5 liters) of water daily
124,124,Cervical spondylosis,Include 1/4 cup of almonds daily for calcium and vitamin E
125,125,Cervical spondylosis,Add 1 teaspoon turmeric with a pinch of black pepper daily
126,126,Cervical spondylosis,Eat 1 cup of pineapple daily for bromelain
127,127,Cervical spondylosis,Maintain proper posture while eating and throughout the day
128,128,Cervical spondylosis,Include 1 cup of cherries daily for anthocyanins
129,129,Cervical spondylosis,Perform doctor-recommended neck exercises regularly
130,130,Paralysis (brain hemorrhage),Consume 2000-2500 calories daily with guidance from a dietitian
131,131,Paralysis (brain hemorrhage),Include 3-4 oz of skinless chicken, turkey, fish, or plant proteins
132,132,Paralysis (brain hemorrhage),Eat 2 cups of colorful vegetables and 1-2 fruits daily
133,133,Paralysis (brain hemorrhage),Drink 8-10 glasses (2-2.5 liters) of water daily
134,134,Paralysis (brain hemorrhage),Include 1/4 avocado or 1/4 cup nuts daily for healthy fats
135,135,Paralysis (brain hemorrhage),Limit candy, soda, and desserts to occasional treats
136,136,Paralysis (brain hemorrhage),Eat 1/2 cup blueberries daily for antioxidants
137,137,Paralysis (brain hemorrhage),Include leafy greens, broccoli, and Brussels sprouts for vitamin K
138,138,Paralysis (brain hemorrhage),Follow your healthcare team's specific dietary recommendations
139,139,Paralysis (brain hemorrhage),Practice stress-reduction techniques like meditation
140,140,Jaundice,Drink 8-10 glasses (2-2.5 liters) of water daily
141,141,Jaundice,Eat 1 cup of raw carrots daily for beta-carotene
142,142,Jaundice,Include 3-4 oz of skinless chicken, turkey, fish, or plant proteins
143,143,Jaundice,Eat plain rice, toast, crackers, and baked potatoes
144,144,Jaundice,Avoid fried chicken, french fries, and fatty meats
145,145,Jaundice,Avoid coffee, tea, and all alcoholic beverages
146,146,Jaundice,Drink lemon water with 1/2 lemon daily
147,147,Jaundice,Eat 1/2 cup of cooked beets daily for liver support
148,148,Jaundice,Get adequate rest and avoid strenuous activities
149,149,Jaundice,Eat 1 cup of papaya daily for digestive enzymes
150,150,Malaria,Drink 8-10 glasses (2-2.5 liters) of water daily
151,151,Malaria,Drink 1/4 cup of papaya leaf juice daily for platelet support
152,152,Malaria,Include 3-4 oz of skinless chicken, turkey, fish, or plant proteins
153,153,Malaria,Eat 1-2 oranges daily for vitamin C
154,154,Malaria,Avoid fried chicken, french fries, and fatty meats
155,155,Malaria,Avoid coffee, tea, and all alcoholic beverages
156,156,Malaria,Drink 2-3 cups of coconut water daily for electrolytes
157,157,Malaria,Drink 2-3 cups of ginger tea daily for fever and nausea
158,158,Malaria,Get adequate rest and avoid strenuous activities
159,159,Malaria,Drink 1 cup of pomegranate juice daily for iron
160,160,Chicken pox,Drink 8-10 glasses (2-2.5 liters) of water daily
161,161,Chicken pox,Eat 1-2 bowls of chicken soup daily for hydration and nutrients
162,162,Chicken pox,Eat 1-2 oranges daily for vitamin C
163,163,Chicken pox,Include 3-4 oz of skinless chicken, turkey, fish, or plant proteins
164,164,Chicken pox,Include 3 oz of oysters or 1/4 cup pumpkin seeds for zinc
165,165,Chicken pox,Avoid hot peppers, citrus fruits, and tomato products
166,166,Chicken pox,Eat 1/2 cup of mashed potatoes when mouth sores are present
167,167,Chicken pox,Wash hands frequently and avoid sharing utensils
168,168,Chicken pox,Get adequate rest and avoid strenuous activities
169,169,Chicken pox,Eat 1 cup of watermelon daily for hydration
170,170,Dengue,Drink 8-10 glasses (2-2.5 liters) of water daily
171,171,Dengue,Drink 1/4 cup of papaya leaf juice daily for platelet support
172,172,Dengue,Eat 1-2 kiwi fruits daily for vitamin C
173,173,Dengue,Avoid fried chicken, french fries, and fatty meats
174,174,Dengue,Avoid coffee, tea, and all alcoholic beverages
175,175,Dengue,Drink 2-3 cups of coconut water daily for electrolytes
176,176,Dengue,Eat 1 pomegranate or drink 1 cup of juice daily for iron
177,177,Dengue,Get adequate rest and avoid strenuous activities
178,178,Dengue,Drink 1 cup of fresh orange juice daily for vitamin C
179,179,Dengue,Eat 1 bowl of spinach soup daily for iron
180,180,Typhoid,Eat plain rice, toast, crackers, and baked potatoes
181,181,Typhoid,Drink 8-10 glasses (2-2.5 liters) of water daily
182,182,Typhoid,Eat 1/2 cup of boiled potatoes daily for easy digestion
183,183,Typhoid,Eat 1-2 ripe bananas daily for easy digestion
184,184,Typhoid,Include 3-4 oz of skinless chicken, turkey, fish, or plant proteins
185,185,Typhoid,Avoid fried chicken, french fries, and fatty meats
186,186,Typhoid,Eat 1 bowl of rice porridge (congee) daily
187,187,Typhoid,Drink 2-3 cups of coconut water daily for electrolytes
188,188,Typhoid,Take antibiotics exactly as prescribed
189,189,Typhoid,Avoid coffee, tea, and all alcoholic beverages
190,190,hepatitis A,Drink 8-10 glasses (2-2.5 liters) of water daily
191,191,hepatitis A,Eat 2 cups of colorful vegetables and 1-2 fruits daily
192,192,hepatitis A,Eat 4 oz of steamed white fish daily for protein
193,193,hepatitis A,Eat 1 cup of boiled sweet potatoes daily
194,194,hepatitis A,Avoid fried chicken, french fries, and fatty meats
195,195,hepatitis A,Avoid coffee, tea, and all alcoholic beverages
196,196,hepatitis A,Eat 1-2 oranges daily for vitamin C
197,197,hepatitis A,Eat 1 cup of cooked oatmeal daily for fiber
198,198,hepatitis A,Get adequate rest and avoid strenuous activities
199,199,hepatitis A,Include 1 cup of Greek yogurt daily for protein
200,200,Hepatitis B,Consume 2000-2500 calories daily with guidance from a dietitian
201,201,Hepatitis B,Drink 8-10 glasses (2-2.5 liters) of water daily
202,202,Hepatitis B,Eat 4 oz of steamed chicken breast daily for protein
203,203,Hepatitis B,Eat 2 cups of colorful vegetables and 1-2 fruits daily
204,204,Hepatitis B,Avoid fried chicken, french fries, and fatty meats
205,205,Hepatitis B,Avoid coffee, tea, and all alcoholic beverages
206,206,Hepatitis B,Eat 1-2 oranges daily for vitamin C
207,207,Hepatitis B,Include 1/2 cup cooked quinoa daily for protein and fiber
208,208,Hepatitis B,Get adequate rest and avoid strenuous activities
209,209,Hepatitis B,Include 1/2 avocado daily for healthy fats
210,210,Hepatitis C,Consume 2000-2500 calories daily with guidance from a dietitian
211,211,Hepatitis C,Drink 8-10 glasses (2-2.5 liters) of water daily
212,212,Hepatitis C,Eat 4 oz of wild salmon daily for protein and omega-3
213,213,Hepatitis C,Eat 2 cups of colorful vegetables and 1-2 fruits daily
214,214,Hepatitis C,Avoid fried chicken, french fries, and fatty meats
215,215,Hepatitis C,Avoid coffee, tea, and all alcoholic beverages
216,216,Hepatitis C,Eat 1-2 oranges daily for vitamin C
217,217,Hepatitis C,Include 1/2 cup of brown rice daily for fiber
218,218,Hepatitis C,Get adequate rest and avoid strenuous activities
219,219,Hepatitis C,Eat 1 cup of blueberries daily for antioxidants
220,220,Hepatitis D,Consume 2000-2500 calories daily with guidance from a dietitian
221,221,Hepatitis D,Drink 8-10 glasses (2-2.5 liters) of water daily
222,222,Hepatitis D,Eat 4 oz of white fish daily for protein
223,223,Hepatitis D,Eat 2 cups of colorful vegetables and 1-2 fruits daily
224,224,Hepatitis D,Avoid fried chicken, french fries, and fatty meats
225,225,Hepatitis D,Avoid coffee, tea, and all alcoholic beverages
226,226,Hepatitis D,Eat 1-2 oranges daily for vitamin C
227,227,Hepatitis D,Include 1/2 cup of quinoa daily for protein and fiber
228,228,Hepatitis D,Get adequate rest and avoid strenuous activities
229,229,Hepatitis D,Eat 1 cup of steamed carrots daily for vitamin A
230,230,Hepatitis E,Drink 8-10 glasses (2-2.5 liters) of water daily
231,231,Hepatitis E,Eat 2 cups of colorful vegetables and 1-2 fruits daily
232,232,Hepatitis E,Eat 4 oz of poached chicken daily for protein
233,233,Hepatitis E,Eat 1/2 cup of white rice daily for easy digestion
234,234,Hepatitis E,Avoid fried chicken, french fries, and fatty meats
235,235,Hepatitis E,Avoid coffee, tea, and all alcoholic beverages
236,236,Hepatitis E,Eat 1-2 oranges daily for vitamin C
237,237,Hepatitis E,Include 1 cup of steamed zucchini daily
238,238,Hepatitis E,Get adequate rest and avoid strenuous activities
239,239,Hepatitis E,Eat 1 medium banana daily for easy digestion
240,240,Alcoholic hepatitis,Avoid all alcoholic beverages completely
241,241,Alcoholic hepatitis,Consume 2000-2500 calories daily with guidance from a dietitian
242,242,Alcoholic hepatitis,Drink 8-10 glasses (2-2.5 liters) of water daily
243,243,Alcoholic hepatitis,Eat 2 cups of colorful vegetables and 1-2 fruits daily
244,244,Alcoholic hepatitis,Eat 4 oz of tofu daily for protein
245,245,Alcoholic hepatitis,Avoid fried chicken, french fries, and fatty meats
246,246,Alcoholic hepatitis,Eat 1 cup of steamed broccoli daily for detoxification
247,247,Alcoholic hepatitis,Include 1/2 cup of brown rice daily for fiber
248,248,Alcoholic hepatitis,Get adequate rest and avoid strenuous activities
